Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AF Sens 3 Volts (V),Calculated Load (g/rev),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-002 v1.7.6.0-27787][2005 USDM Impreza WRX STI][Reflash: Stage0 v400.ptm - Realtime: Stage0 v400.ptm]"
6.474,-3.12,0.00,-0.12,14.47,0.73,0.86,0.750,0.00,0.00,41.00,13.33,75.2,42.61,2.60,2975,3.22,20.8,18.82,0
6.562,-3.12,0.00,0.00,14.47,0.73,0.85,0.750,0.00,0.00,41.50,12.79,75.2,40.25,2.54,2998,3.05,19.6,18.82,0
6.656,-3.91,0.00,-0.12,14.36,0.72,0.81,0.750,0.00,0.00,42.00,12.10,75.2,39.75,2.56,2985,2.42,19.6,19.22,0
6.756,-3.12,0.00,0.00,14.59,0.72,0.80,0.750,0.00,0.00,42.00,12.11,75.2,40.73,2.58,2987,2.41,19.6,18.82,0
6.845,-1.56,0.00,0.00,14.81,0.71,0.81,0.750,0.00,0.00,42.00,12.85,75.2,40.99,2.56,3013,2.56,19.6,18.82,0
6.938,0.00,0.00,0.00,14.93,0.70,0.81,0.750,0.00,0.00,42.50,12.13,75.2,39.18,2.54,2993,2.38,19.2,19.22,0
7.038,-0.78,0.00,0.00,14.70,0.69,0.79,0.750,0.00,0.00,42.50,12.25,75.2,38.07,2.52,3022,2.23,18.4,19.22,0
7.114,-0.78,0.00,0.00,14.59,0.65,0.76,0.750,0.00,0.00,43.00,11.61,75.2,37.34,2.50,3023,1.80,18.0,19.22,0
7.210,0.00,0.00,0.00,14.59,0.60,0.75,0.750,0.00,0.00,43.00,11.54,75.2,37.48,2.50,3005,1.98,18.0,18.82,0
7.309,1.56,0.00,0.00,14.70,0.57,0.75,0.750,0.00,0.00,43.00,11.63,75.2,36.99,2.50,3029,2.02,18.0,19.22,0
7.393,2.34,0.00,0.00,14.81,0.54,0.74,0.750,0.00,0.00,43.50,12.20,75.2,37.48,2.50,3010,2.09,18.0,19.22,0
7.482,3.91,0.00,0.00,14.81,0.53,0.74,0.750,0.00,0.00,43.50,11.56,75.2,36.14,2.46,3009,2.08,16.9,19.22,0
7.578,2.34,0.00,0.00,14.59,0.52,0.71,0.750,0.00,0.00,44.00,11.01,75.2,33.07,2.42,3036,1.22,16.1,19.22,0
7.664,0.78,0.00,-0.12,14.24,0.51,0.67,0.750,0.00,0.00,44.50,10.29,75.2,31.86,2.40,3014,1.15,16.1,19.22,0
7.770,2.34,0.00,0.00,14.47,0.49,0.64,0.750,0.00,0.00,45.00,10.38,75.2,32.45,2.40,3042,1.31,16.1,19.22,0
7.851,3.91,0.00,0.00,14.81,0.48,0.64,0.750,0.00,0.00,45.00,10.37,75.2,31.78,2.38,3039,1.41,16.1,19.22,0
7.946,6.25,0.00,0.00,14.93,0.47,0.63,0.750,0.00,0.00,45.00,10.30,75.2,31.66,2.40,3018,1.52,16.1,19.22,0
8.032,8.59,0.00,0.12,15.04,0.47,0.63,0.750,0.00,0.00,45.00,10.41,75.2,31.56,2.38,3049,1.69,16.1,19.22,0
8.126,9.38,0.00,0.00,14.93,0.46,0.62,0.750,0.00,0.00,45.00,10.38,75.2,31.89,2.40,3041,1.69,16.1,19.22,0
8.222,9.38,0.00,0.00,14.70,0.44,0.63,0.750,0.00,0.00,45.00,10.31,75.2,32.01,2.40,3020,1.70,16.1,19.22,0
8.306,9.38,0.00,0.00,14.59,0.41,0.63,0.750,0.00,0.00,45.00,10.40,75.2,31.33,2.40,3047,1.73,16.1,19.22,0
8.399,9.38,0.00,0.00,14.47,0.37,0.62,0.750,0.00,0.00,45.00,10.33,75.2,31.67,2.40,3025,1.77,16.1,19.22,0
8.493,9.38,0.00,0.00,14.59,0.33,0.63,0.750,0.00,0.00,45.00,10.33,75.2,32.01,2.40,3026,1.73,16.1,19.22,0
8.597,8.59,0.00,-0.12,14.47,0.30,0.63,0.750,0.00,0.00,45.00,10.42,75.2,31.54,2.40,3052,1.76,16.1,19.22,0
8.682,8.59,0.00,-0.12,14.47,0.28,0.62,0.750,0.00,0.00,45.00,10.35,75.2,31.20,2.38,3032,1.78,16.1,19.22,0
8.772,9.38,0.00,0.00,14.59,0.26,0.62,0.750,0.00,0.00,45.50,9.68,75.2,28.66,2.32,3025,1.78,14.9,19.22,0
8.870,7.81,0.00,-0.12,14.36,0.24,0.58,0.750,0.00,0.00,46.00,9.13,75.2,27.61,2.30,3058,1.11,14.9,19.22,0
